,,,亿元,2022,,,,2021,,,,2020,,,,2019,,,,2018,,,,2017,,,,2016,,,,2015,,,,2014,,,,2013,,,
nodename,Location,id,node,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金,总资产,拆出资金,总负债,拆入资金
青农商行,Shandong Province,50,11,4348.000 ,116.000 ,3983.000 ,94.903 ,4304.000 ,139.000 ,3954.000 ,103.000 ,4068.000 ,73.235 ,3771.000 ,99.218 ,3417.000 ,67628.000 ,3164.000 ,50.106 ,2941.000 ,40.404 ,2728.000 ,29.842 ,2511.000 ,37.746 ,2331.000 ,25.655 ,2075.000 ,12.988 ,1918.000 ,37.078 ,1651.000 ,0.000 ,1516.000 ,20.000 ,1016.000 ,0.000 ,926.000 ,0.000 ,858.000 ,9.766 ,825.000 ,0.126 
厦门国际银行股份有限公司,Fujian Province,52,12,3712.000 ,139.000 ,3465.000 ,195.000 ,3295.000 ,88.078 ,3062.000 ,132.000 ,2852.000 ,35.961 ,2655.000 ,117.000 ,2469.000 ,45.032 ,2313.000 ,127.000 ,2324.000 ,15.530 ,2185.000 ,180.000 ,2128.000 ,0.000 ,2005.000 ,326.000 ,1890.000 ,0.000 ,1797.000 ,106.000 ,1603.000 ,0.000 ,1521.000 ,7.266 ,1191.000 ,1.224 ,1129.000 ,7.931 ,1058.000 ,1.219 ,1011.000 ,3.428 
上海浦东发展银行股份有限公司,Shanghai,54,13,87000.000 ,3635.000 ,80000.000 ,3410.000 ,81400.000 ,3079.000 ,74600.000 ,1827.000 ,79500.000 ,2341.000 ,73000.000 ,1827.000 ,70100.000 ,1726.000 ,64400.000 ,1625.000 ,62900.000 ,1423.000 ,58100.000 ,1486.000 ,61400.000 ,808.000 ,57100.000 ,1388.000 ,58600.000 ,1189.000 ,54800.000 ,971.000 ,50400.000 ,1378.000 ,47300.000 ,996.000 ,42000.000 ,220.000 ,39300.000 ,631.000 ,36800.000 ,268.000 ,34700.000 ,620.000 
上海银行股份有限公司,Shanghai,55,14,28800.000 ,2036.000 ,26600.000 ,412.000 ,26500.000 ,1989.000 ,24500.000 ,219.000 ,24600.000 ,1880.000 ,22700.000 ,751.000 ,22400.000 ,1701.000 ,20600.000 ,742.000 ,20300.000 ,1153.000 ,18700.000 ,683.000 ,18100.000 ,972.000 ,16600.000 ,518.000 ,17600.000 ,977.000 ,16400.000 ,494.000 ,14500.000 ,722.000 ,13600.000 ,302.000 ,11900.000 ,380.000 ,11100.000 ,242.000 ,9777.000 ,214.000 ,9214.000 ,226.000 
苏农银行,Jiangsu Province,59,15,1803.000 ,28.767 ,1659.000 ,29.022 ,1587.000 ,21.363 ,1455.000 ,17.928 ,1394.000 ,5.709 ,1273.000 ,29.790 ,1260.000 ,26.832 ,1143.000 ,13.064 ,1168.000 ,21.598 ,1073.000 ,1.285 ,953.000 ,9.901 ,868.000 ,0.261 ,813.000 ,5.411 ,735.000 ,0.000 ,715.000 ,0.649 ,648.000 ,0.000 ,619.000 ,0.000 ,558.000 ,0.000 ,625.000 ,0.000 ,570.000 ,0.122 
苏州银行,Jiangsu Province,60,16,5245.000 ,299.000 ,4841.000 ,354.000 ,4530.000 ,199.000 ,4187.000 ,276.000 ,3881.000 ,91.028 ,3568.000 ,266.000 ,3435.000 ,108.000 ,3145.000 ,164.000 ,3111.000 ,54.146 ,2865.000 ,169.000 ,2841.000 ,44.945 ,2618.000 ,131.000 ,2604.000 ,38.194 ,2395.000 ,84.141 ,2309.000 ,83.591 ,2113.000 ,25.493 ,2042.000 ,59.830 ,1869.000 ,12.072 ,1640.000 ,34.312 ,1483.000 ,5.150 
西安银行股份有限公司,Shaanxi Province,67,17,4058.000 ,10.669 ,3766.000 ,21.403 ,3459.000 ,0.749 ,3183.000 ,14.984 ,3064.000 ,11.521 ,2808.000 ,16.269 ,2783.000 ,6.658 ,2546.000 ,9.406 ,2435.000 ,10.059 ,2235.000 ,0.571 ,2341.000 ,14.455 ,2164.000 ,2.647 ,2180.000 ,14.405 ,2020.000 ,9.900 ,2100.000 ,12.643 ,1956.000 ,20.000 ,1513.000 ,4.653 ,1415.000 ,0.000 ,1337.000 ,2.134 ,1254.000 ,30.100 
兴业银行股份有限公司,Fujian Province,68,18,92700.000 ,3520.000 ,85100.000 ,2773.000 ,86000.000 ,3518.000 ,79100.000 ,1738.000 ,78900.000 ,1919.000 ,72700.000 ,1802.000 ,71500.000 ,2315.000 ,66000.000 ,1923.000 ,67100.000 ,983.000 ,62400.000 ,2208.000 ,64200.000 ,312.000 ,59900.000 ,1879.000 ,60900.000 ,169.000 ,57300.000 ,1300.000 ,53000.000 ,563.000 ,49800.000 ,1037.000 ,44100.000 ,511.000 ,41500.000 ,811.000 ,36800.000 ,871.000 ,34800.000 ,783.000 
张家港行,Jiangsu Province,70,19,1875.000 ,0.000 ,1718.000 ,28.019 ,1646.000 ,1.266 ,1500.000 ,9.246 ,1438.000 ,0.647 ,1325.000 ,19843.000 ,1230.000 ,5.647 ,1123.000 ,8915.000 ,1134.000 ,4.255 ,1034.000 ,22.473 ,103.100 ,10.882 ,947.000 ,2.000 ,902.000 ,11.184 ,827.000 ,4.108 ,824.000 ,2.644 ,752.000 ,0.844 ,720.000 ,0.000 ,655.000 ,0.000 ,726.000 ,0.000 ,670.000 ,0.653 
招商银行股份有限公司,Guangdong Province,72,20,101400.000 ,2642.000 ,91800.000 ,2070.000 ,92500.000 ,1944.000 ,83800.000 ,1707.000 ,83600.000 ,2269.000 ,76300.000 ,1435.000 ,74200.000 ,3074.000 ,68000.000 ,1659.000 ,67500.000 ,3134.000 ,62000.000 ,2040.000 ,63000.000 ,1546.000 ,58100.000 ,2727.000 ,59400.000 ,2003.000 ,55400.000 ,2489.000 ,54700.000 ,1857.000 ,51100.000 ,1788.000 ,47300.000 ,1241.000 ,44200.000 ,946.000 ,40200.000 ,1480.000 ,37500.000 ,1251.000 
